Region,ResourceType,ID,Name,State,Details,CreationDate
ap-southeast-1,EC2 Snapshot,snap-05c2f9d9f3033394b,N/A,completed,"{""volume_id"": ""vol-02d5a4a73fa0f825a"", ""volume_size_gb"": 500, ""description"": ""Created by CreateImage(i-02b08c6d07a9e9a62) for ami-0039d2d81f72a8742"", ""encrypted"": false, ""owner_id"": ""509784428550"", ""tags"": ""N/A""}",2025-11-05T15:13:05.281000+00:00
ap-southeast-1,EC2 Key Pair,key-0b2fa8843d7a5eb0e,CML_keys,N/A,"{""fingerprint"": ""1d:63:51:44:e2:0e:01:71:94:ad:cc:97:a1:f5:a2:d8:6c:2f:a8:bf"", ""key_pair_id"": ""key-0b2fa8843d7a5eb0e"", ""tags"": ""N/A""}",2024-08-20T07:51:41.939000+00:00
ap-southeast-1,Security Group,sg-0b99c03b2dd1a2ac0,launch-wizard-16,N/A,"{""description"": ""launch-wizard-16 created 2024-10-16T08:40:11.158Z"", ""vpc_id"": ""vpc-ab5252cc"", ""owner_id"": ""509784428550"", ""tags"": ""N/A""}",N/A
ap-southeast-1,Subnet,subnet-0949873e4455c33a7,CML_setup,available,"{""vpc_id"": ""vpc-ab5252cc"", ""cidr_block"": ""172.31.0.0/20"", ""availability_zone"": ""ap-southeast-1b"", ""available_ip_count"": 4091, ""map_public_ip_on_launch"": false, ""tags"": ""Name=CML_setup""}",N/A
eu-central-1,Subnet,subnet-050703d8e80f5bb9a,hk-jump,available,"{""vpc_id"": ""vpc-27b3474d"", ""cidr_block"": ""172.31.0.0/24"", ""availability_zone"": ""eu-central-1b"", ""available_ip_count"": 251, ""map_public_ip_on_launch"": false, ""tags"": ""Name=hk-jump""}",N/A
eu-central-1,Subnet,subnet-04534509b68db7785,8kv_wan,available,"{""vpc_id"": ""vpc-27b3474d"", ""cidr_block"": ""172.31.254.0/24"", ""availability_zone"": ""eu-central-1b"", ""available_ip_count"": 251, ""map_public_ip_on_launch"": false, ""tags"": ""Name=8kv_wan""}",N/A
eu-central-1,Route Table,rtb-0961e33f676601749,c8kv-wan-rt,N/A,"{""vpc_id"": ""vpc-27b3474d"", ""routes"": ""172.31.0.0/16 -> local; 0.0.0.0/0 -> nat-0aee316d97fb6a0af"", ""associations"": ""subnet-04534509b68db7785"", ""tags"": ""Name=c8kv-wan-rt""}",N/A
eu-central-1,Internet Gateway,igw-037cc82d2e89b2421,igw-sec-con-demo,detached,"{""attachments"": """", ""owner_id"": ""509784428550"", ""tags"": ""Name=igw-sec-con-demo""}",N/A
us-east-1,EC2 Snapshot,snap-038aee2249c23bf86,AWS Application Migration Service Base Snapshot,completed,"{""volume_id"": ""vol-0a4f804d32a50be58"", ""volume_size_gb"": 1, ""description"": ""AWS Application Migration Service Base Snapshot"", ""encrypted"": false, ""owner_id"": ""509784428550"", ""tags"": ""Name=AWS Application Migration Service Base Snapshot, AWSApplicationMigrationServiceManaged=mgn.amazonaws.com""}",2024-03-09T08:31:04.653000+00:00
us-east-1,RDS Snapshot,netbox,netbox,available,"{""db_instance"": ""netbox"", ""engine"": ""postgres"", ""storage_gb"": 20, ""snapshot_type"": ""manual"", ""encrypted"": true, ""tags"": ""N/A""}",2025-11-03T12:17:16.582000+00:00
us-east-1,RDS Snapshot,netbox-snapshot,netbox-snapshot,available,"{""db_instance"": ""netbox"", ""engine"": ""postgres"", ""storage_gb"": 20, ""snapshot_type"": ""manual"", ""encrypted"": true, ""tags"": ""N/A""}",2025-11-03T12:35:51.924000+00:00
us-east-1,Internet Gateway,igw-0a5905b139c209aa3,netbox,detached,"{""attachments"": """", ""owner_id"": ""509784428550"", ""tags"": ""Name=netbox""}",N/A
us-east-1,KMS Alias,arn:aws:kms:us-east-1:509784428550:alias/eks/tf-workshop-cluster,alias/eks/tf-workshop-cluster,N/A,"{""target_key_id"": ""e1b26a7f-568b-44fa-b49e-dd2ff2417e5c"", ""arn"": ""arn:aws:kms:us-east-1:509784428550:alias/eks/tf-workshop-cluster""}",2024-07-23T16:27:38.019000+05:30
us-east-1,KMS Alias,arn:aws:kms:us-east-1:509784428550:alias/eks/tf-workshop-cluster-user5,alias/eks/tf-workshop-cluster-user5,N/A,"{""target_key_id"": ""f31a26e4-91dc-47e7-9410-5bf9099bdeca"", ""arn"": ""arn:aws:kms:us-east-1:509784428550:alias/eks/tf-workshop-cluster-user5""}",2024-07-23T15:46:09.024000+05:30
us-east-1,ECS Task Definition,arn:aws:ecs:us-east-1:509784428550:task-definition/netbox:3,netbox:3,ACTIVE,"{""family"": ""netbox"", ""revision"": ""3"", ""full_arn"": ""arn:aws:ecs:us-east-1:509784428550:task-definition/netbox:3""}",N/A
us-west-1,Subnet,subnet-02b0569b0649c05fa,HKDEMO,available,"{""vpc_id"": ""vpc-ed5e4b8a"", ""cidr_block"": ""172.31.0.0/24"", ""availability_zone"": ""us-west-1a"", ""available_ip_count"": 251, ""map_public_ip_on_launch"": false, ""tags"": ""Name=HKDEMO""}",N/A
